time,size,AtoB,AtoC,AtoD
65.196,146,2.5292e-2,2.5300730131e-2,5.1468730131e-2
65.2325,1394,2.7788e-2,2.7792850014e-2,6.3944850014e-2
65.581,866,2.6732e-2,2.6733792584e-2,5.8661792584e-2
65.7975,1010,2.702e-2,2.7028743196e-2,6.0108743196e-2
66.05,530,2.606e-2,2.6064446594e-2,5.5304446594e-2
66.1825,482,2.5964e-2,2.5972307207e-2,5.4828307207e-2
66.303,866,2.6732e-2,2.6735573458e-2,5.8663573458e-2
66.5195,962,2.6924e-2,2.6928019752e-2,5.9624019752e-2
66.76,1394,2.7788e-2,2.7796436308e-2,6.3948436308e-2
67.1085,1010,5.7966314334e-2,5.7970016811e-2,9.1050016811e-2
67.361,1058,2.7116e-2,2.712032021e-2,
67.6255,1154,2.7308e-2,2.7314020587e-2,6.1546020587e-2
67.914,722,2.6444e-2,2.6449016988e-2,5.7225016988e-2
68.0945,1058,2.7116e-2,2.7118062051e-2,6.0582062051e-2
68.359,770,2.654e-2,2.6549769994e-2,5.7709769994e-2
68.5515,338,2.5676e-2,2.5677816854e-2,5.3381816854e-2
68.636,1154,2.7308e-2,2.731031381e-2,6.154231381e-2
68.9245,434,2.5868e-2,2.5869152792e-2,5.4341152792e-2
69.033,1298,2.7596e-2,2.7604028897e-2,6.2988028897e-2
69.3575,1202,2.7404e-2,2.7408486129e-2,6.2024486129e-2
69.658,722,2.6444e-2,2.6446067371e-2,5.7222067371e-2
69.8385,50,2.51e-2,2.5108672053e-2,5.0508672053e-2
69.851,1490,2.798e-2,2.7986437631e-2,6.4906437631e-2
70.2235,1058,2.7116e-2,2.7125549959e-2,6.0589549959e-2
70.488,482,2.5964e-2,2.5967873932e-2,5.4823873932e-2
70.6085,818,2.6636e-2,2.6643117741e-2,7.2585120738e-2
70.813,722,2.6444e-2,2.6448062981e-2,5.7224062981e-2
70.9935,338,,,
71.078,1058,2.7116e-2,2.712062095e-2,6.058462095e-2
71.3425,818,2.6636e-2,2.6645207001e-2,5.8189207001e-2
71.547,1154,2.7308e-2,2.7313909397e-2,6.1545909397e-2
71.8355,338,2.5676e-2,2.5678856498e-2,5.3382856498e-2
71.92,722,2.6444e-2,2.6447463616e-2,5.7223463616e-2
72.1005,482,2.5964e-2,2.5971621033e-2,6.3601317641e-2
72.221,386,2.5772e-2,2.5781899569e-2,5.3869899569e-2
72.3175,434,2.5868e-2,2.5871181787e-2,5.4343181787e-2
72.426,914,2.6828e-2,2.6829587439e-2,5.9141587439e-2
72.6545,1394,7.3874791902e-2,7.3883571542e-2,0.110035571542
73.003,866,2.6732e-2,2.6734449959e-2,5.8662449959e-2
73.2195,50,2.51e-2,2.5104958902e-2,5.0504958902e-2
73.232,1250,2.75e-2,2.7504758479e-2,0.14806192124
73.5445,338,2.5676e-2,2.568428461e-2,5.338828461e-2
73.629,98,2.5196e-2,2.5199027952e-2,5.0983027952e-2
73.6535,722,2.6444e-2,2.6451003928e-2,5.7227003928e-2
73.834,1394,2.7788e-2,2.7791204455e-2,6.3943204455e-2
74.1825,1202,2.7404e-2,2.7413220928e-2,6.2029220928e-2
74.483,626,4.8897730525e-2,4.8905067399e-2,7.8913067399e-2
74.6395,1442,2.7884e-2,2.7887348402e-2,6.4423348402e-2
75.0,1346,2.7692e-2,2.7694618547e-2,6.3462618547e-2
75.3365,1010,2.702e-2,2.7022716283e-2,6.0102716283e-2
75.589,434,2.5868e-2,2.586939563e-2,5.434139563e-2
75.6975,1058,2.7116e-2,2.7119158179e-2,6.0583158179e-2
75.962,290,2.558e-2,2.5582937322e-2,5.2902937322e-2
76.0345,530,2.606e-2,2.6067857196e-2,0.136996171872
76.167,1298,2.7596e-2,2.7599440374e-2,6.2983440374e-2
76.4915,434,2.5868e-2,2.5876931007e-2,5.4348931007e-2
76.6,1346,2.7692e-2,2.7693396941e-2,6.3461396941e-2
76.9365,1154,5.5883999662e-2,5.5889671875e-2,9.0121671875e-2
77.225,1490,2.798e-2,2.7985621239e-2,6.4905621239e-2
77.5975,194,2.5388e-2,2.5396913139e-2,5.1948913139e-2
77.646,770,2.654e-2,2.6547817522e-2,5.7707817522e-2
77.8385,1442,2.7884e-2,2.7890692868e-2,6.4426692868e-2
78.199,146,2.5292e-2,2.5300043427e-2,5.1468043427e-2
78.2355,1106,2.7212e-2,2.7219966161e-2,6.1067966161e-2
78.512,1106,2.7212e-2,2.7214267936e-2,6.1062267936e-2
78.7885,242,2.5484e-2,2.5490268539e-2,5.2426268539e-2
78.849,242,2.5484e-2,2.5493571002e-2,5.2429571002e-2
78.9095,578,2.6156e-2,2.6159529258e-2,5.5783529258e-2
79.054,242,2.5484e-2,2.5491601874e-2,5.2427601874e-2
79.1145,866,2.6732e-2,2.6740284683e-2,5.8668284683e-2
